id,date,batter_id,batter_name,game_pk,ab,hits,hr_count,rbi,hit,fetched_at,doubles,triples,total_bases
122613,2026-07-14,669016,Brandon Marsh,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122614,2026-07-14,691023,Jordan Walker,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122615,2026-07-14,682928,CJ Abrams,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122616,2026-07-14,701398,Sal Stewart,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122617,2026-07-14,547180,Bryce Harper,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122618,2026-07-14,571970,Max Muncy,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122619,2026-07-14,518692,Freddie Freeman,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122620,2026-07-14,686948,Drake Baldwin,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122621,2026-07-14,691718,Pete Crow-Armstrong,823443,1,1,0,0,0,2026-07-15 14:59:10,0,0,1
122622,2026-07-14,656941,Kyle Schwarber,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122623,2026-07-14,695578,James Wood,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122624,2026-07-14,621566,Matt Olson,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122625,2026-07-14,696100,Hunter Goodman,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122626,2026-07-14,681624,Andy Pages,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122627,2026-07-14,682998,Corbin Carroll,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122628,2026-07-14,665742,Juan Soto,823443,2,1,0,0,0,2026-07-15 14:59:10,0,0,1
122629,2026-07-14,645277,Ozzie Albies,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122630,2026-07-14,661388,William Contreras,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122631,2026-07-14,650333,Luis Arraez,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122632,2026-07-14,671056,Iván Herrera,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122633,2026-07-14,672640,Otto Lopez,823443,2,1,0,0,0,2026-07-15 14:59:10,0,0,1
122634,2026-07-14,671976,Tristan Peters,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122635,2026-07-14,575929,Willson Contreras,823443,1,1,0,0,0,2026-07-15 14:59:10,0,0,1
122636,2026-07-14,668227,Randy Arozarena,823443,2,1,0,0,0,2026-07-15 14:59:10,0,0,1
122637,2026-07-14,682985,Riley Greene,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122638,2026-07-14,683953,Travis Bazzana,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122639,2026-07-14,676391,Ernie Clement,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122640,2026-07-14,808959,Munetaka Murakami,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122641,2026-07-14,668939,Adley Rutschman,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122642,2026-07-14,805808,Kevin McGonigle,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122643,2026-07-14,545361,Mike Trout,823443,3,0,0,0,0,2026-07-15 14:59:10,0,0,0
122644,2026-07-14,700250,Ben Rice,823443,2,1,0,1,0,2026-07-15 14:59:10,0,0,1
122645,2026-07-14,641355,Cody Bellinger,823443,3,1,0,2,0,2026-07-15 14:59:10,0,0,1
122646,2026-07-14,669127,Shea Langeliers,823443,1,1,0,0,0,2026-07-15 14:59:10,0,0,1
122647,2026-07-14,650490,Yandy Díaz,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122648,2026-07-14,678882,Ceddanne Rafaela,823443,2,0,0,0,0,2026-07-15 14:59:10,0,0,0
122649,2026-07-14,691406,Junior Caminero,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122650,2026-07-14,693307,Dillon Dingler,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
122651,2026-07-14,678246,Miguel Vargas,823443,2,1,1,1,1,2026-07-15 14:59:10,0,0,4
122652,2026-07-14,670541,Yordan Alvarez,823443,2,1,0,0,0,2026-07-15 14:59:10,0,0,1
122653,2026-07-14,677951,Bobby Witt Jr.,823443,1,0,0,0,0,2026-07-15 14:59:10,0,0,0
